from_iata,to_iata,time_mins
CPT,BFN,90
CPT,DUR,110
CPT,ELS,85
CPT,GRJ,55
CPT,HDS,200
CPT,HLA,115
CPT,JNB,115
CPT,KIM,90
CPT,MBD,220
CPT,MGH,225
CPT,MQP,155
CPT,NTY,130
CPT,PBZ,75
CPT,PHW,245
CPT,PLZ,70
CPT,PRY,135
CPT,PTG,250
CPT,PZB,115
CPT,RCB,255
CPT,SIS,270
CPT,SZK,150
CPT,UTN,80
CPT,UTT,255
DUR,BFN,65
DUR,CPT,125
DUR,ELS,65
DUR,GRJ,110
DUR,HDS,205
DUR,HLA,65
DUR,JNB,65
DUR,KIM,205
DUR,MBD,200
DUR,MQP,60
DUR,NTY,160
DUR,PHW,240
DUR,PLZ,80
DUR,PTG,180
DUR,PZB,185
DUR,RCB,245
DUR,SIS,250
DUR,SZK,175
DUR,UTN,220
DUR,UTT,205
JNB,BFN,55
JNB,CPT,130
JNB,DUR,65
JNB,ELS,85
JNB,GRJ,110
JNB,HDS,65
JNB,KIM,65
JNB,MBD,40
JNB,MGH,90
JNB,MQP,45
JNB,NTY,35
JNB,PBZ,150
JNB,PHW,70
JNB,PLZ,95
JNB,PTG,50
JNB,PZB,60
JNB,RCB,75
JNB,SIS,80
JNB,SZK,50
JNB,UTN,90
JNB,UTT,75
